contributors	coordinates	created_at	entities	favorited	geo	id	id_str	in_reply_to_screen_name	in_reply_to_status_id	in_reply_to_status_id_str	in_reply_to_user_id	in_reply_to_user_id_str	place	retweet_count	retweeted	source	text	truncated	user
None	None	Sun Jan 15 16:22:42 +0000 2012	{u'user_mentions': [{u'id': 21385538, u'indices': [0, 13], u'id_str': u'21385538', u'screen_name': u'arno_stevens', u'name': u'Arno Stevens'}, {u'id': 87201342, u'indices': [14, 24], u'id_str': u'87201342', u'screen_name': u'Cineville', u'name': u'Cineville'}], u'hashtags': [], u'urls': []}	False	None	158584907457769473	158584907457769473	arno_stevens	158188502096416768	158188502096416768	21385538	21385538	None	0	False	web	@arno_stevens @Cineville En wat vond je ervan?	False	{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}
None	None	Mon Sep 26 17:23:55 +0000 2011	{u'user_mentions': [{u'id': 816653, u'indices': [91, 102], u'id_str': u'816653', u'screen_name': u'TechCrunch', u'name': u'TechCrunch'}], u'hashtags': [], u'urls': [{u'url': u'http://t.co/qC36EJxz', u'indices': [66, 86], u'expanded_url': u'http://bit.ly/oJNhHB', u'display_url': u'bit.ly/oJNhHB'}]}	False	None	118375258620301312	118375258620301312	None	None	None	None	None	None	0	False	<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	Controversy as Spotify requires new users to be on Facebook first http://t.co/qC36EJxz via @techcrunch	False	{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}
None	None	Tue Sep 13 08:52:47 +0000 2011	{u'user_mentions': [{u'id': 17177403, u'indices': [0, 6], u'id_str': u'17177403', u'screen_name': u'plevy', u'name': u'Pierre Levy'}], u'hashtags': [], u'urls': []}	False	None	113535585976721408	113535585976721408	plevy	113403801842618369	113403801842618369	17177403	17177403	None	0	False	web	@plevy Thanks for the correction, will take that into account...	False	{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}
None	None	Mon Sep 12 21:31:19 +0000 2011	{u'user_mentions': [{u'id': 17177403, u'indices': [0, 6], u'id_str': u'17177403', u'screen_name': u'plevy', u'name': u'Pierre Levy'}], u'hashtags': [], u'urls': []}	False	None	113364089291538432	113364089291538432	plevy	113345365532606465	113345365532606465	17177403	17177403	None	0	False	web	@plevy Could you elaborate on what you don't agree on?	False	{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}
None	None	Tue May 03 15:09:00 +0000 2011	{u'user_mentions': [{u'id': 112453332, u'indices': [0, 11], u'id_str': u'112453332', u'screen_name': u'xlshosting', u'name': u'XLS Hosting'}], u'hashtags': [], u'urls': []}	False	None	65432677855150080	65432677855150080	xlshosting	None	None	112453332	112453332	None	0	False	web	@xlshosting Enig idee wanneer jullie VPS5013 leven in kunnen blazen, na ruim 8 uur downtime? Kan ook niet meer in de interface inloggen...	False	{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}
None	None	Tue May 03 12:04:49 +0000 2011	{u'user_mentions': [{u'id': 112453332, u'indices': [0, 11], u'id_str': u'112453332', u'screen_name': u'xlshosting', u'name': u'XLS Hosting'}], u'hashtags': [], u'urls': []}	False	None	65386323833405440	65386323833405440	xlshosting	None	None	112453332	112453332	None	0	False	web	@xlshosting Wat is er met VPS5013 aan de hand? Is die ook down wegens de trage harde schijf toegang?	False	{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}
None	None	Mon Oct 18 20:47:27 +0000 2010	{u'user_mentions': [], u'hashtags': [{u'indices': [15, 21], u'text': u'ts2as'}], u'urls': []}	False	None	27767990457	27767990457	None	None	None	None	None	None	0	False	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Drop die beat! #ts2as	False	{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}
None	None	Wed May 26 20:26:38 +0000 2010	{u'user_mentions': [{u'id': 20136749, u'indices': [3, 11], u'id_str': u'20136749', u'screen_name': u'DeSpeld', u'name': u'De Speld'}], u'hashtags': [{u'indices': [111, 122], u'text': u'carredebat'}], u'urls': []}	False	None	14786336281	14786336281	None	None	None	None	None	None	103	False	web	RT @DeSpeld: "U kijkt zo lief" - Balkenende brengt versiertips van Jack de Vries op subtiele wijze in praktijk #carredebat	False	{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}
None	None	Wed May 26 19:23:24 +0000 2010	{u'user_mentions': [], u'hashtags': [{u'indices': [98, 109], u'text': u'carredebat'}], u'urls': []}	False	None	14783207379	14783207379	None	None	None	None	None	None	0	False	web	Emile Roemer mag Cohen wel een lesje ontspannen debaten gaan geven, wat een ongelooflijk contrast #carredebat	False	{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}
None	None	Wed May 26 19:08:27 +0000 2010	{u'user_mentions': [], u'hashtags': [{u'indices': [64, 75], u'text': u'carredebat'}], u'urls': []}	False	None	14782468579	14782468579	None	None	None	None	None	None	0	False	web	Nog een debat in top trending wereldwijd, Nederland twitterland #carredebat	False	{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}
None	None	Sun May 09 20:51:55 +0000 2010	{u'user_mentions': [], u'hashtags': [], u'urls': []}	False	None	13687229678	13687229678	None	None	None	None	None	None	0	False	<a href="http://timespeople.nytimes.com" rel="nofollow">TimesPeople</a>	Tell-All Generation Learns to Keep Things Offline - http://nyti.ms/by4SIp	False	{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}
None	None	Sun Mar 07 12:27:49 +0000 2010	{u'user_mentions': [{u'id': 77329833, u'indices': [0, 13], u'id_str': u'77329833', u'screen_name': u'thomashosman', u'name': u'Thomas Hosman'}], u'hashtags': [], u'urls': []}	False	None	10118126273	10118126273	thomashosman	10117978350	10117978350	77329833	77329833	None	0	False	<a href="https://chrome.google.com/extensions/detail/encaiiljifbdbjlphpgpiimidegddhic" rel="nofollow">Silver Bird</a>	@thomashosman Staat me bij dat Mattie ooit contact heeft gehad met speechschrijver van Cohen.	False	{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}
